name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,10641,11043203742,,-83.8775432,35.9999502,,,,,
,10642,2486862186,,-83.9117350,35.9551273,,,,,
,10643,7548697495,,-83.9121709,35.9548275,,,,,
,10644,9480920926,,-83.9121083,35.9547270,,,,,
,10645,9735569991,,-84.0891576,35.9203401,,,,,
,10646,7561720693,,-84.1007920,35.9204342,,,,,
,10647,7561682670,,-84.1006774,35.9203382,,,,,
,10648,7561682676,,-84.0999749,35.9190302,,,,,
,10649,7561720689,,-84.0995486,35.9183549,,,,,
,10650,6897180691,,-84.0998629,35.9190575,,,,,
,10651,705670170,signal,-84.1398565,35.9008555,,,,,
,10652,10076095464,,-83.9483016,35.9342985,,,,,
,10653,705476924,,-83.9489785,35.9311388,,,,,
,10654,705476549,,-83.9498545,35.9295018,,,,,
,10655,202868466,,-83.9988370,35.9140638,,,,,
,10656,7668677572,,-83.9986967,35.9169478,,,,,
,10657,7685079627,,-83.9147395,35.9339778,,,,,
,10658,7698540552,,-84.0315337,35.9181213,,,,,
,10659,202945755,signal,-83.9172418,35.9634659,,,,,
,10660,202945764,,-83.9193324,35.9626477,,,,,
,10661,202925672,signal,-83.9188662,35.9617764,,,,,
,10662,202969695,,-83.9608570,35.9276870,,,,,
,10663,633122571,,-83.9152748,35.9623098,,,,,
,10664,7707927859,signal,-83.9189029,35.9677660,,,,,
,10665,8986627075,,-83.9184480,35.9676128,,,,,
,10666,6943948891,,-83.9133777,35.9661750,,,,,
,10667,9868451009,,-83.9569851,35.9173007,,,,,
,10668,7613990921,,-83.9569701,35.9171080,,,,,
,10669,11013150424,,-83.9573057,35.9202509,,,,,
,10670,2515614496,,-83.9324722,35.9566113,,,,,
,10671,202857571,signal,-83.9333814,35.9582420,,,,,
,10672,202824583,,-84.0755726,35.9316053,,,,,
,10673,202880827,,-84.0779739,35.9249900,,,,,
,10674,7797680849,,-84.0776528,35.9249283,,,,,
,10675,7797680848,,-84.0771026,35.9247851,,,,,
,10676,9735569975,signal,-84.0858657,35.9211093,,,,,
,10677,202861745,signal,-84.0946812,35.9279556,,,,,
